id,AuthorName,date,PERMNO,TICKER,company
1559,Marcus Aurelius Value,7-Jun-19,13121,TEUM,Pareteum Corp
1561,Viceroy Research,26-Jun-19,13121,TEUM,Pareteum Corp
502,GeoInvesting (FG Alpha,3-Feb-14,12380,PCYG,Park City Group Inc.
1200,Voss Capital,1-Mar-17,12380,PCYG,Park City Group Inc.
1723,Hindenburg Research,3-Aug-20,76266,PRK,Park National Corporation
320,Kerrisdale Capital Mana,15-Oct-12,80019,PRKR,PARKERVISION INC
462,Alpha Exposure,30-Oct-13,80019,PRKR,PARKERVISION INC
1745,Bucephalus Research,17-Sep-20,78034,PDCO,Patterson Companies Inc
858,Alecto Research,20-Oct-15,14579,PAYC,Paycom Software Inc
903,The Street Sweeper,2-Dec-15,14579,PAYC,PAYCOM SOFTWARE INC
1635,Marcus Aurelius Value,21-Nov-19,18058,PAYS,"Paysign, Inc."
1199,Cliffside Research,28-Feb-17,81566,PCMI,PCM Inc.
14,Manuel P. Asensio,20-Jul-06,91180,PGWC,PEGASUS WIRELESS CORP
1638,Citron Research,10-Dec-19,18940,PTON,"Peloton Interactive, Inc."
1578,Spruce Point Capital Ma,31-Jul-19,15694,PEN,Penumbra Inc
1742,FFJ,14-Sep-20,15694,PEN,Penumbra Inc
1763,Quintessential Capital,10-Nov-20,15694,PEN,Penumbra Inc
1768,Marc Cohodes,18-Nov-20,15694,PEN,Penumbra Inc
1782,Marcus Aurelius Value,28-Dec-20,15694,PEN,Penumbra Inc
937,Richard Pearson,26-Jan-16,85724,PRDO,Perdoceo Education Corporation
1031,Bleecker Street Researc,20-Jun-16,15538,PGLC,Pershing Gold Corp
1324,Hindenburg Research,9-Nov-17,15538,PGLC,Pershing Gold Corp
1538,Spruce Point Capital Ma,30-Apr-19,16827,PETQ,PetIQ Inc
1281,Marcus Aurelius Value,23-Aug-17,90012,PETS,PetMed Express Inc.
281,Kynikos Associates,11-Apr-12,88490,PBR,PETROLEO BRASILEIRO SA PETROBRA
1700,Bonitas Research,12-May-20,90012,PETS,PETS AT HOME GROUP PLC
1508,Edward Vranic,28-Jan-19,13688,PCG,PG&E Corp
741,Hayman Capital Manageme,20-Apr-15,82513,PCYC,PHARMACYCLICS INC
453,The Street Sweeper,17-Oct-13,88258,PHMD,PHOTOMEDEX INC
1469,Blue Orca Capital,14-Nov-18,17972,PDD,Pinduoduo Inc.
1241,Marcus Aurelius Value,10-May-17,12961,PME,Pingtan Marine Enterprise Ltd.
754,David Einhorn,4-May-15,75241,PXD,PIONEER NATURAL RESOURCES CO
962,Spruce Point Capital Ma,8-Mar-16,15627,PLNT,Planet Fitness Inc
1436,The Friendly Bear,19-Jul-18,80185,PLT,Plantronics Inc
776,The Street Sweeper,28-May-15,87656,PTBI,PLASMATECH BIOPHARMACEUTICALS I
1284,GeoInvesting (FG Alpha,30-Aug-17,16641,PLYA,Playa Hotels & Resorts NV
518,Citron Research,11-Mar-14,87337,PLUG,PLUG POWER INC
528,Richard Pearson,27-Mar-14,87337,PLUG,PLUG POWER INC
531,Kerrisdale Capital Mana,2-Apr-14,87337,PLUG,PLUG POWER INC
554,Lakewood Capital Manage,15-May-14,87337,PLUG,PLUG POWER INC
